14.0,15.0,20.0,16.0,20.0,12.0,16.0,25.0,17.0,14.0,13.0,16.0,21.0,20.0,21.0,29.0,26.0,15.0,10.0,24.0,16.0,26.0,16.0,10.0,18.0,15.0,26.0,18.0,20.0,19.0,16.0,16.0,24.0,24.0,32.0,15.0,17.0,24.0,21.0,23.0,22.0,17.0,15.0,20.0,12.0,19.0,23.0,18.0,12.0,17.0,21.0,16.0,6.0,15.0,6.0,18.0,22.0,7.0,16.0,27.0,34.0,21.0,9.0,24.0,20.0,22.0,112.0,205.0,91.0,51.0,35.0,37.0,35.0,43.0,29.0,40.0,32.0,41.0,39.0,23.0,39.0,20.0,25.0,24.0,21.0,27.0,39.0,19.0,29.0,37.0,20.0,29.0,22.0,19.0,15.0,28.0,19.0,15.0,29.0,17.0,14.0,25.0,20.0,24.0,16.0,12.0,14.0,25.0,21.0,24.0,20.0,20.0,22.0,27.0,11.0,27.0,19.0,24.0,21.0,15.0,15.0,20.0,18.0,21.0,26.0,24.0,16.0,19.0,20.0,22.0,22.0,43.0,17.0,16.0,27.0,11.0,27.0,13.0,20.0,20.0,39.0,20.0,14.0,19.0,14.0,13.0,23.0,26.0,19.0,21.0,11.0,20.0,21.0,12.0,22.0,11.0,16.0,16.0,21.0,18.0,13.0,20.0,9.0,17.0,15.0,23.0,16.0,28.0,20.0,17.0,28.0,10.0
8.0,22.0,14.0,23.0,18.0,12.0,14.0,5.0,18.0,12.0,12.0,15.0,22.0,11.0,13.0,20.0,11.0,11.0,10.0,15.0,16.0,8.0,23.0,6.0,21.0,21.0,9.0,13.0,11.0,13.0,20.0,15.0,11.0,25.0,8.0,9.0,19.0,19.0,16.0,12.0,26.0,24.0,28.0,40.0,47.0,42.0,46.0,24.0,51.0,23.0,51.0,31.0,114.0,236.0,327.0,332.0,366.0,397.0,394.0,475.0,425.0,454.0,441.0,416.0,418.0,420.0,392.0,459.0,423.0,478.0,394.0,392.0,352.0,92.0,157.0,69.0,35.0,42.0,41.0,44.0,28.0,55.0,40.0,47.0,36.0,47.0,40.0,40.0,28.0,39.0,48.0,37.0,32.0,47.0,35.0,41.0,15.0,37.0,38.0,44.0,49.0,34.0,34.0,28.0,44.0,40.0,23.0,20.0,28.0,27.0,24.0,24.0,24.0,21.0,19.0,24.0,35.0,23.0,21.0,14.0,24.0,12.0,13.0,10.0,15.0,18.0,18.0,13.0,17.0,11.0,17.0,9.0,11.0,11.0,16.0,16.0,14.0,21.0,14.0,13.0,15.0,9.0,14.0,9.0,32.0,16.0,20.0,17.0,8.0,15.0,17.0,8.0,25.0,10.0,12.0,20.0,27.0,12.0,11.0,22.0,32.0,17.0,24.0,13.0,9.0,16.0,11.0,2.0,13.0,31.0,18.0,13.0
17.0,14.0,18.0,13.0,7.0,9.0,17.0,23.0,15.0,21.0,15.0,15.0,21.0,34.0,18.0,10.0,11.0,19.0,23.0,12.0,11.0,19.0,8.0,12.0,33.0,15.0,14.0,17.0,11.0,11.0,15.0,10.0,32.0,14.0,19.0,23.0,19.0,20.0,10.0,13.0,26.0,5.0,33.0,31.0,28.0,63.0,55.0,59.0,75.0,47.0,47.0,67.0,234.0,329.0,348.0,360.0,325.0,281.0,326.0,352.0,385.0,415.0,411.0,453.0,398.0,421.0,279.0,401.0,393.0,326.0,173.0,76.0,42.0,27.0,22.0,30.0,18.0,13.0,13.0,24.0,32.0,36.0,15.0,19.0,17.0,23.0,23.0,15.0,26.0,50.0,32.0,60.0,65.0,72.0,52.0,61.0,65.0,69.0,63.0,62.0,80.0,54.0,48.0,41.0,42.0,30.0,38.0,40.0,54.0,46.0,25.0,27.0,32.0,19.0,21.0,32.0,13.0,20.0,17.0,16.0,18.0,14.0,14.0,26.0,22.0,23.0,11.0,21.0,12.0,20.0,10.0,15.0,2.0,10.0,16.0,3.0,20.0,12.0,14.0,5.0,9.0,20.0,11.0,17.0,13.0,5.0,30.0,10.0,32.0,42.0,62.0,63.0,98.0,134.0,158.0,121.0,163.0,135.0,208.0,158.0,164.0,206.0,184.0,138.0,89.0,107.0,72.0,36.0,97.0,64.0,44.0,19.0
34.0,18.0,24.0,16.0,31.0,14.0,12.0,21.0,24.0,26.0,27.0,20.0,18.0,26.0,29.0,17.0,19.0,15.0,28.0,24.0,26.0,15.0,14.0,9.0,16.0,12.0,17.0,9.0,23.0,32.0,20.0,9.0,12.0,11.0,13.0,7.0,27.0,10.0,20.0,6.0,13.0,13.0,14.0,30.0,32.0,16.0,21.0,4.0,21.0,22.0,29.0,63.0,50.0,51.0,53.0,36.0,22.0,30.0,32.0,52.0,49.0,150.0,359.0,311.0,287.0,216.0,209.0,242.0,247.0,229.0,253.0,273.0,243.0,250.0,273.0,293.0,297.0,244.0,281.0,270.0,219.0,189.0,101.0,66.0,39.0,25.0,26.0,18.0,46.0,14.0,11.0,17.0,13.0,16.0,12.0,16.0,15.0,14.0,16.0,35.0,42.0,58.0,99.0,156.0,102.0,57.0,84.0,36.0,41.0,73.0,30.0,27.0,38.0,30.0,32.0,52.0,44.0,41.0,39.0,38.0,29.0,33.0,41.0,31.0,34.0,42.0,18.0,19.0,21.0,20.0,28.0,18.0,19.0,30.0,28.0,26.0,27.0,12.0,22.0,19.0,13.0,13.0,13.0,27.0,19.0,19.0,12.0,23.0,40.0,16.0,10.0,14.0,10.0,9.0,16.0,16.0,13.0,16.0,15.0,17.0,16.0,8.0,15.0,11.0,12.0,8.0,10.0,6.0,14.0,13.0,11.0,22.0
20.0,10.0,9.0,17.0,16.0,12.0,12.0,9.0,14.0,8.0,7.0,13.0,13.0,23.0,11.0,21.0,17.0,16.0,8.0,20.0,12.0,6.0,10.0,7.0,15.0,25.0,17.0,22.0,4.0,5.0,22.0,12.0,12.0,12.0,23.0,15.0,18.0,10.0,29.0,9.0,19.0,14.0,15.0,13.0,14.0,14.0,15.0,11.0,16.0,7.0,12.0,20.0,13.0,15.0,27.0,26.0,16.0,15.0,19.0,10.0,15.0,12.0,21.0,15.0,8.0,13.0,36.0,24.0,63.0,47.0,57.0,412.0,237.0,633.0,47.0,38.0,27.0,21.0,23.0,62.0,199.0,216.0,257.0,285.0,366.0,372.0,380.0,386.0,357.0,334.0,399.0,404.0,360.0,390.0,371.0,318.0,284.0,129.0,134.0,46.0,29.0,14.0,20.0,14.0,17.0,30.0,12.0,16.0,17.0,22.0,17.0,21.0,18.0,17.0,31.0,38.0,41.0,36.0,40.0,45.0,38.0,36.0,25.0,39.0,35.0,47.0,26.0,42.0,52.0,39.0,35.0,38.0,36.0,36.0,30.0,45.0,35.0,28.0,16.0,31.0,20.0,26.0,59.0,30.0,18.0,14.0,18.0,17.0,20.0,18.0,10.0,16.0,13.0,15.0,10.0,15.0,16.0,27.0,17.0,9.0,17.0,13.0,6.0,20.0,12.0,15.0,22.0,10.0,10.0,7.0,12.0,10.0
21.0,21.0,14.0,18.0,17.0,11.0,10.0,12.0,21.0,26.0,13.0,22.0,25.0,10.0,17.0,17.0,18.0,17.0,17.0,16.0,15.0,16.0,16.0,21.0,21.0,27.0,19.0,40.0,19.0,20.0,14.0,8.0,31.0,15.0,11.0,5.0,13.0,15.0,12.0,19.0,14.0,15.0,10.0,14.0,19.0,14.0,22.0,10.0,17.0,15.0,13.0,13.0,7.0,16.0,29.0,32.0,32.0,50.0,61.0,61.0,153.0,28.0,85.0,220.0,221.0,175.0,183.0,130.0,195.0,230.0,249.0,233.0,236.0,239.0,254.0,250.0,267.0,283.0,287.0,290.0,319.0,283.0,148.0,78.0,27.0,15.0,20.0,16.0,14.0,25.0,18.0,11.0,13.0,20.0,10.0,13.0,8.0,15.0,16.0,14.0,18.0,31.0,34.0,34.0,36.0,37.0,40.0,31.0,35.0,39.0,39.0,35.0,25.0,27.0,32.0,44.0,31.0,32.0,27.0,30.0,34.0,36.0,52.0,20.0,29.0,22.0,15.0,25.0,15.0,18.0,44.0,18.0,40.0,13.0,8.0,14.0,24.0,29.0,22.0,15.0,15.0,12.0,14.0,9.0,20.0,21.0,36.0,12.0,9.0,14.0,13.0,9.0,15.0,15.0,9.0,22.0,15.0,15.0,14.0,9.0,8.0,10.0,12.0,25.0,11.0,9.0,16.0,15.0,17.0,16.0,19.0,27.0
16.0,6.0,9.0,15.0,12.0,21.0,22.0,18.0,23.0,18.0,24.0,10.0,22.0,9.0,28.0,10.0,26.0,27.0,10.0,33.0,15.0,15.0,34.0,15.0,11.0,18.0,25.0,13.0,22.0,15.0,21.0,10.0,12.0,27.0,14.0,14.0,14.0,18.0,6.0,15.0,9.0,19.0,28.0,20.0,25.0,25.0,7.0,14.0,13.0,13.0,9.0,6.0,10.0,13.0,9.0,13.0,12.0,14.0,7.0,7.0,38.0,7.0,13.0,60.0,59.0,40.0,23.0,95.0,362.0,184.0,315.0,143.0,42.0,64.0,86.0,214.0,173.0,161.0,227.0,198.0,230.0,253.0,264.0,249.0,244.0,241.0,240.0,245.0,283.0,287.0,272.0,204.0,90.0,25.0,14.0,19.0,9.0,15.0,21.0,12.0,12.0,21.0,13.0,20.0,18.0,13.0,8.0,14.0,12.0,15.0,18.0,15.0,33.0,33.0,56.0,33.0,36.0,40.0,35.0,35.0,37.0,56.0,25.0,39.0,55.0,35.0,39.0,50.0,29.0,43.0,30.0,35.0,30.0,32.0,15.0,22.0,29.0,16.0,22.0,21.0,23.0,17.0,24.0,20.0,30.0,16.0,22.0,19.0,25.0,17.0,15.0,27.0,18.0,17.0,12.0,17.0,26.0,15.0,7.0,19.0,28.0,23.0,14.0,15.0,9.0,22.0,26.0,14.0,28.0,10.0,15.0,8.0
14.0,17.0,42.0,18.0,38.0,19.0,11.0,25.0,43.0,30.0,10.0,32.0,22.0,48.0,22.0,19.0,18.0,17.0,14.0,18.0,23.0,20.0,14.0,36.0,28.0,14.0,20.0,15.0,27.0,19.0,19.0,17.0,32.0,66.0,43.0,21.0,25.0,25.0,15.0,35.0,27.0,49.0,27.0,48.0,56.0,165.0,202.0,247.0,247.0,161.0,105.0,18.0,24.0,58.0,168.0,241.0,300.0,271.0,273.0,283.0,311.0,304.0,322.0,341.0,364.0,326.0,383.0,336.0,312.0,308.0,301.0,228.0,88.0,83.0,52.0,26.0,32.0,30.0,24.0,33.0,30.0,22.0,18.0,17.0,28.0,25.0,12.0,18.0,18.0,18.0,19.0,39.0,62.0,75.0,62.0,65.0,54.0,36.0,53.0,89.0,46.0,28.0,36.0,37.0,40.0,33.0,38.0,23.0,27.0,23.0,37.0,36.0,25.0,41.0,31.0,18.0,26.0,13.0,33.0,28.0,19.0,14.0,14.0,31.0,22.0,8.0,28.0,32.0,15.0,22.0,15.0,13.0,15.0,21.0,19.0,21.0,14.0,15.0,12.0,18.0,36.0,15.0,16.0,15.0,14.0,12.0,16.0,19.0,25.0,24.0,10.0,41.0,20.0,16.0,11.0,11.0,9.0,10.0,6.0,11.0,9.0,10.0,19.0,17.0,4.0,22.0,10.0,22.0,27.0,18.0,23.0,14.0
14.0,24.0,17.0,17.0,12.0,15.0,16.0,11.0,10.0,16.0,20.0,27.0,22.0,24.0,34.0,35.0,34.0,38.0,37.0,39.0,41.0,43.0,41.0,33.0,27.0,21.0,21.0,24.0,15.0,18.0,12.0,21.0,24.0,25.0,25.0,21.0,22.0,21.0,30.0,23.0,22.0,26.0,20.0,15.0,30.0,26.0,19.0,19.0,23.0,21.0,15.0,13.0,17.0,14.0,19.0,28.0,16.0,18.0,12.0,13.0,10.0,12.0,9.0,16.0,20.0,36.0,69.0,15.0,50.0,242.0,159.0,182.0,284.0,188.0,61.0,134.0,44.0,77.0,206.0,269.0,254.0,256.0,359.0,374.0,316.0,308.0,317.0,342.0,462.0,468.0,479.0,464.0,465.0,363.0,345.0,337.0,267.0,203.0,121.0,60.0,27.0,22.0,26.0,19.0,21.0,35.0,20.0,24.0,19.0,20.0,22.0,17.0,18.0,19.0,14.0,26.0,40.0,44.0,51.0,29.0,57.0,58.0,59.0,54.0,72.0,67.0,56.0,44.0,50.0,56.0,54.0,72.0,76.0,53.0,60.0,60.0,57.0,58.0,52.0,44.0,51.0,22.0,33.0,26.0,36.0,19.0,15.0,12.0,31.0,26.0,17.0,19.0,18.0,36.0,26.0,24.0,21.0,28.0,33.0,18.0,18.0,29.0,27.0,38.0,32.0,17.0,20.0,20.0,20.0,19.0,16.0,20.0
20.0,21.0,15.0,10.0,16.0,17.0,17.0,14.0,15.0,8.0,16.0,16.0,11.0,22.0,16.0,10.0,18.0,9.0,10.0,14.0,8.0,8.0,15.0,16.0,15.0,7.0,14.0,16.0,14.0,15.0,15.0,18.0,19.0,10.0,15.0,27.0,11.0,24.0,27.0,26.0,40.0,23.0,19.0,31.0,15.0,16.0,26.0,15.0,15.0,21.0,15.0,12.0,31.0,12.0,22.0,27.0,32.0,32.0,31.0,19.0,28.0,61.0,34.0,167.0,390.0,492.0,49.0,900.0,203.0,470.0,120.0,109.0,8.0,84.0,245.0,247.0,257.0,318.0,252.0,293.0,342.0,319.0,304.0,377.0,445.0,315.0,285.0,281.0,320.0,326.0,332.0,231.0,106.0,63.0,22.0,26.0,13.0,13.0,17.0,32.0,28.0,21.0,18.0,18.0,18.0,22.0,18.0,13.0,20.0,14.0,29.0,38.0,34.0,53.0,60.0,59.0,52.0,58.0,51.0,42.0,23.0,57.0,25.0,32.0,47.0,23.0,19.0,41.0,43.0,28.0,41.0,37.0,38.0,34.0,26.0,16.0,20.0,24.0,19.0,25.0,47.0,37.0,12.0,26.0,20.0,15.0,17.0,24.0,16.0,14.0,8.0,21.0,15.0,22.0,20.0,14.0,15.0,10.0,13.0,16.0,34.0,13.0,25.0,7.0,7.0,16.0,14.0,6.0,18.0,13.0,19.0,15.0
